author_id,created_at,id,lang,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,quoted_id,text
1338470511643385856,2022-08-29 20:20:56+00:00,1564347391528034304,fa,4,0,0,0,1563599410356838400,"ایشالا یه روز هممون میریم علی میمونه و حوضش.
چار قرون میندازید جلوی دولوپر انتظار دارید براتون بمونن؟ احمقن مگه؟ اصلن اگه احمق بودن که به دردتون نمیخوردن. پس تا تغییر رفتار ندید همین آش و همین کاسه هست. https://t.co/hE84di3AIx"
1330152464100814851,2022-08-29 07:53:08+00:00,1564159199113842688,fa,7,0,0,0,1563537630460932097,"دانشگاه ما سایتی داره به اسم نوید که هم زبان انگلیسی و هم فارسی رو ساپورت می‌کنه
بعد با آیپی خارجی نمیشه وارد سایت شد.
حالا سوالم از دولوپر سایت اینه که اون لوکالیزیشن انگلیسی رو برای کدوم خری گذاشتی؟ یه ایرانی که میخواد تو سایت دانشگاه، زبانش رو تقویت کنه؟ :// https://t.co/TPAQC1x1bS"
729506854620045312,2022-08-29 06:01:42+00:00,1564131157243039745,fa,20,1,0,2,1563896882845319168,ترکیب برنده فقط بک‌اند دولوپر با فرانت‌اند دولوپر https://t.co/OGU2sIhQVp
2977137574,2022-08-29 00:13:38+00:00,1564043562735616007,fa,4,0,1,0,1564037566055165952,"کاش همین رو ساده تر می‌گفتید برای کسانی که با گیت کار نمی‌کنند(مثلا جامعه‌شناس عینکی کچل) هم میفهمید.
گیت امکان دِوِلوپ همزمان کُد رو به چندین دِوِلوپر میده تا بدون اصطکاک بتونن قسمت‌های مختلف یک کد رو همزمان دِوِلوپ کنند https://t.co/dQU09NOdd5"
2841003995,2022-08-28 17:32:54+00:00,1563942713925451778,fa,1,0,0,0,1563823121119039488,بیزینس دولوپر با سی اف اُ https://t.co/O9hhfBSYhQ
826364777245065216,2022-08-27 13:36:31+00:00,1563520838741086209,fa,6,0,0,2,1563199111163105281,"از پایین به بالا
Nodejs
JS
منِ به اصطلاح دولوپر https://t.co/Ii7F2nZqPV"
1150118866565173249,2022-08-27 05:44:31+00:00,1563402056450260994,fa,19,0,2,0,1563262776021516289,هه هه فرانت؟ هه ههه هههه فرانت‌اند دولوپر که برنامه‌نویس نیس ههه ههه هههه https://t.co/gTjwM2poDR
385401416,2022-08-26 22:20:00+00:00,1563290191154286594,fa,11,0,0,0,1562664187490316288,کارمند فروش vs دولوپر https://t.co/0hV3mbKity
47918373,2022-08-26 15:19:42+00:00,1563184417992228866,fa,3,0,0,0,1563101466092765189,عقل دولوپر: https://t.co/pBIdKmAGfQ
126944972,2022-08-24 20:53:06+00:00,1562543546988539904,fa,10,0,0,1,1562301332656193536,"دیتا ساینس دیتا ساینس دیتا ساینس…
بیشترین لذت رو موقع کار کردن با دیتاها میبرم…

و صدالبته فیرمور دولوپر و دیزاینر… https://t.co/72aWvav3HI"
45430792,2022-08-24 20:41:23+00:00,1562540596828717058,fa,3,0,0,0,1562540002936254464,من جونیور چرا باید همچین تسکایی بخوره به پستم؟ از فردا میرم کامیت هامو میدم بچه‌های پستگرس دولوپر برام رویو کنن:)) https://t.co/H5hA2LG7D5
2890987224,2022-08-23 22:54:31+00:00,1562211713906253824,fa,10,0,1,1,1562128653256990720,اگر میخواید فرانت اند دولوپر بشید جاوید از خفن ترین دولوپر هایی که تو زندگیم دیدم غافل نشید که سوخت میدین از ما گفتن بود !‌ https://t.co/MGWCxuMDff
1562180413388472320,2022-08-23 21:19:10+00:00,1562187719014490112,fa,1,0,0,0,1555179600245936128,کاش یه بکند دولوپر تو ایتالیا بودم https://t.co/MvbgALH40V https://t.co/O51O7tFhEt
1034871111677300737,2022-08-23 18:04:05+00:00,1562138624220696578,fa,50,0,3,2,1561978340637941760,"#Evmos_A1
قراره که بعد از آپگرید V8.0.0 ، اجازه بده تا #درصدی از gas fee مصرفی توسط هر قراردادهوشمند، به دولوپر‌های اون تعلق بگیره.
که ایده‌ی عالی هست و باعث جذب دولوپر بیشتری میشه.
شبکه @ElrondNetwork نیز همچین مکانیزمی داره و ۳۰% از فی مصرفی توسط هر قرارداد رو به دولوپراش میده. https://t.co/w6EsYfz9f5"
